,Username,Date,Score,Review
18,Sally Jane Black,,Unrated," A lot has been written about the depth and beauty of the animation here, so I won't belabor it. I don't have the technical knowledge to add to that discussion, anyway. I will say that I enjoyed it, especially the tone it set with its color palette and the throwback feeling of certain parts (the cloud city part especially seemed to harken back (thanks, nabbers)). The other technical aspects of this were generally fairly impressive as well--the music was delightful…"
19,demi adejuyigbe,,4.0,absolutely peak cuteness
20,maria,,5.0,i'm just so happy
21,♦️•Lily•💋,,4.5,Greg with his silly little frog and the silly little teapot on his head
22,noah,,5.0,"myyy name is wirt and his name is greg, we're related cause my mom remarried and then gave birth to him with my stepdad. we're not from here, can u all give us some directions todaayy so we can be on our.... WWWAAAAYYYYYYYYY  (but seriously go watch this mini-series, it's probably one of, if not, the best mini-series out there)"
23,oppie,,5.0,GREG IS THE PUREST THING I HAVE EVER SEEN I WOULD DIE FOR GREG
24,demi adejuyigbe,,4.0,honestly i was tired and in a post-IT fugue when i watched this so i dozed off for a lil bit but this is so sweet and funny and lovely and i’m actually excited to watch it again
25,CinemaJoe,,4.5,A good example of an experience that’s enhanced tenfold when it’s watched surrounded by friends.  Someone play two old cats with me now.
26,amaya,,5.0,"""A"" is for the apple that he gave to me :) but i found a worm inside :("
27,aleph beth null,,4.5,"eighth or maybe ninth rewatch and i'm still discovering new little connections and kindnesses in this relentlessly melancholy (kierkegaardian?) work of love. bodies and the material world are affirmed all over the place:  — auntie whispers and adelaide are never ever mocked for their frames or non-passing voices — bells stubbornly remain stuck inside frogs even outside the unknown — resurrected pottsfielders require glorified/pumpkinified bodies (reclaiming the satires of seneca jr, zomg) — 'no, no, not a wish, i'm not…"
28,Laura,,Unrated,"would actually die for a mixtape of poetry & clarinet playing, sara is a lucky gal"
29,Drew Clark,,5.0,This show had a strange familiarity about it. Like I’d seen it all before in a forgotten dream from when I was younger.
30,nathaxnne [hiatus <3],,5.0,"To find oneself in a dark wood, not in the middle of life, but somewhere closer to its start, would indeed be maybe better, a pilgrim without progress, where you were is where you were all along and you were there and you were there and you were there from the fall on into the winter and the waiting until spring. The stories that aren't true might be true anyway or at least illuminatory, as something to burn that gives…"
31,🌻 lindsay 🌻,,5.0,Oh potatoes! And molasses! If you want some oh just ask us!
32,adambolt,,3.5,if i ever get lost in the forest i want Greg with me at all times
33,Fam Squad Yeet,,5.0,"Over the Garden Wall is on of those rare shows that are masterfully crafted. Like Adventure Time it perfectly captures that sense of Child-like whimsicality for adventure and the underlying evils of the world. The show is dark and moody with it’s perfect animation, brown color palette, and mysterious score. Yet it’s so light with its message and star-eyed Gregory’s knack for looking at the best side of everything."
34,celia,,4.0,it’s just a wholesome lil show about 2 brothers in purgatory and i like it very much
35,feat. dante from the dmc series,,5.0,oh my god???
36,reibureibu,,4.5,"Takes me back to a place in my life where the world was simpler and I was happier. Both of which, to be fair, were mostly due ignorance, but I can't say I don't miss it.  The falls at my campus were some of the most beautiful I've ever seen. There's something real special about the golden-brown myriad of leaves pigmenting the streets, the gentle nippy drafts which coax out the coat-layering expert in us all, the encroaching time of…"
37,cookie,,5.0,always leaves me wishing i had a little half brother 🍂
38,Caleb Johnson,,5.0,"This was a weird experience. Not due to the content of this, but due to the circumstances in which I started to watch this. I was asleep for the night, but then had one of those nights where I kinda just randomly woke up at 3 a.m. and couldn't get back to sleep. So you better believe your boy popped on the TV to watch something. I don't know what made me think of it, but I suddenly remembered I…"
39,‮🐌‬,,5.0,*sees one brown leaf*   Į̷̡̛͉̳͖͚̞̜̖̮̋́̆̎̉́͝Ṭ̴̡̬̗̈́̀̅̊̌́ ̶̥̫͓͇̘̀̉͗I̷̧͖͆͗̔̽̿́͘͝͝S̶̡̹̠̰̗͎͈͖̑̋̓̒͊͠ ̸̠̟͙̃̍ͅT̸̡͚̦̥͕͕̖͔̣̅̃́͐̓̋͐̑̾̾͜Ĭ̵̧̢̥̱̠̦͉͚̗͚̾̇̎͊M̵̘̟̘̰̊̓E̴͚̰̖͉̙̣̩̅̀͑̐͂
40,single white femalien,,5.0,always a wonderful n sweet lil falloween treat
41,SARAH🦕,,5.0,Utterly fantastic but I have to come clean and admit that for a long time whenever I heard people talk about this I thought they were talking about over the hedge    Also more like jason funderFUCKER amirite
42,cookie,,5.0,this movie is so good they have to play the credits ten times thru out
43,🌻 lindsay 🌻,,5.0,ain’t that just the way
44,jeaba,,5.0,the best movie to watch at the beginning of september. happy over the garden wall season everyone!!
45,Sam Thompson,,Unrated,"I wish Greg was my son. But ONLY if he stays this age forever.  A clear sign that a show is an all timer for me is that when I finish it, I simultaneously feel sad and satisfied. Satisfied because it is complete but sad because the journey is over and I can't see more of the characters I have fallen in love with.  Ain't that just the way..."
46,Jessica Wessica,,3.5,"Greg the Egg was my favorite character  ""We're here to burgle your turts"""
47,Tay,,Unrated,"if we all have burdens to bear,  Over the Garden Wall  suggests that our trials and tribulations may not have to be borne alone, nor does a descent down into darkness have to be devoid of light.  Nate Cash's reimagining of a forested Inferno is strange and magical, comedic and melancholic. there are such sinister implications and undertones to  OtGW,  but it never relents to its own pain. Wort and Greg and their cohort of companions are charming, stubborn, and…"
48,East Clintwood,,5.0,Spirited Away but for lunatics
49,Mario 🟠🟢🔵,,4.5,"Just Elijah Wood doing Frodo things again. Being a little guy, wandering around with this other little guy, having adventures, fighting darkness and stuff. Absolutely fucking loved it! Animated Movies Ranked 8.5/10"
50,rudi,,4.0,Potatoes and Molasses written like a fiona apple song
51,jeaba,,5.0,it makes so much sense that wirt is a child of divorce
52,👽 Zara 👽,,4.5,frogs !!!!!!!!!!!!!!!!!!!!  that’s all :)
53,Wesley R. Ball,,4.5,"I was unaware that Cartoon Network shows can also be cinema.  I've been in some kind of slump out of watching movies lately and I've gotten myself lost in the worlds of Adventure Time and Regular Show. I'm kind of trying to get some changes made in my current life situation that created some strange addiction to watching Adventure Time nearly nonstop, like it actually takes me to some safe, happy place that reminds me of a simpler time in…"
54,"Rafael ""Parker!!"" Jovine",,4.5,"Ok, so long story short.... as I grow up and enter my teenage years, my mom did everything in her powers to actually have me hate cartoons (mostly because I spent talking like a kid), which sorta worked (I say sorta because I kept watching live action TV til very long into my twenties). So of course, its been FOREVER since I watched Cartoon Network as a whole, therefore you can imagine the abundant level of nostalgia that logo with…"
55,Alice Stoehr,,3.5,"This musical fantasy evokes a range of influences—The Wizard of Oz, Spirited Away, Edward Gorey, the Fleischer Bros.—while sustaining a glissando across a whole spectrum of emotions, from goofy to wistful to heartbroken and back again. It's a world of its own, sparkling new but faintly familiar. (Here's Christopher Lloyd, and there's Tim Curry: the cartoon antagonists of decades past.) Jokes and myths, which I suspect may be interchangeable, accumulate into a compact edifice that you can ascend and gaze down from, at which point you may as well clamber back down and watch all ten episodes again."
56,Felipe,,5.0,I love everything about this. You like fall? You like frogs? frogs in old timey suits? Pumpkins? Watch this. It's a halloween must-see.
57,jeaba,,5.0,the perfect watch for a rainy day. so cozy!!
58,Mario 🟠🟢🔵,,4.5,"Wasn't planning on rewatching this until autumn, but I had a shitty day and needed a comfort watch. Animated Movies Ranked 9/10  Edit: 4000th review 🥳🥳"
59,Leighton Trent,,4.5,"As precious and as magical as anything Cartoon Network has produced.   Nothing else puts me in the spirit of Halloween, and Autumn in general, like this does 🎃 🍂       💀 All the Spooks 2021 💀"
60,maiapog,,5.0,"""It's even growing inside him!"" ""No, I was just eating leaves.""  Re-watched this morning while sipping on a pumpkin latte... IT'S FALL BABY! A perfect show. I love Greg with my whole heart. Peak example that being silly is of the utmost importance. Animation again being the best medium ever!!!!"
61,Sally Darr,,4.5,all of this because Wirt wanted to give a girl a mixtape of him reading poetry and playing clarinet playing he’s a keeper and Greg can burgle my turts with doctor cucumber any day
62,brynn helena,,5.0,"this is regular show but for queer, dark academia kids"
63,🌻 lindsay 🌻,,5.0,"My love for this show comes from the same part of me that feels a swell of happiness when I feel the crisp air of fall.   Summer has never been a time of the year where I feel relaxed. It’s actually always been the most stressful times of the year for me. When I was younger, it was a break in my routine that went on for too long. When I have nothing that I have to do, I just…"
64,{Todd},,4.5,"""That's vague, what does that mean?"" - Wirt,   Beatrice the annoyed Blue Bird is LITERALLY my spirit animal... you hear that, LITERALLY?   Show this to your kids! They deserve to have this treasure as part of their memories of when they began to get fucked up. The creator of Adventure Time, one of my favorite shows, decided to do something more long-form and a bit more grounded and scary and it is fantastic. Two young child brothers, Wirt and Greg,…"
65,cookie,,5.0,ive seen it a million times but watching it over facetime with lucy was the hardest ive ever laughed during it (:
66,Leighton Trent,,4.5,"Oh, potatoes and molasses If you want some, oh, just ask us They're warm and soft like puppies in socks Filled with cream and candy rocks Oh, potatoes and molasses They're so much sweeter than algebra classes If your stomach is grumblin' and your mouth starts a-mumblin' There is only one thing to keep your brain from crumblin' Oh, potatoes and molasses If you can't see 'em, put on your glasses They're shiny and large like a fisherman's barge You…"
67,Justin Decloux,,5.0,"The perfect Fall Watch.   It's got dancing pumpkin skeletons, an amazing rock fact-centric sense of humour, and creepy concepts strained through 30s Fleischer cartoon imagery. Does this feature the last example of John Cleese giving a hilarious performance?   I know it's got a cult following, but I can only imagine how packed the shelves of Hot Topic would be with GARDEN WALL: merch if this had been released as a theatrical film.   And so the story is complete and everyone is satisfied with the ending. And so on and so forth..."
68,claira curtis,,5.0,"“Where… are we?”  “In the woods.”  “I mean… what are we doing out here?”  “We’re walking home!”   Where a forest is not just a forest, a walk home is not just a simple home, an ask for help can bode more harm than aid, a lantern may cast a larger shadow rather than shine a light in the dark, and where the thing that matters most in this world, and the next, is your brother.   It’s time for fall. It’s time for the yearly Over the Garden Wall rewatch. It’s time to come home."
69,Wade,,Unrated,Instant Masterpiece
70,Lee ॐ मणि पद्मे हूँ,,5.0,"If dreams can't come true, then why not pretend?  Both a campfire horror about grief and the terror of the passing of time, and a whimsical fairy tale about responsibility and self determination. Note how many scenes involve a character telling a story. Cant help but well up over the Woodsman."
71,Ash,,5.0,"🍁 • 🌲 • 🍂 • 💀 • 🐸 • 🐦 • 🎃 • 🍃 • 👻  {𝚆𝚒𝚛𝚝} 𝚆𝚎 𝚊𝚛𝚎 𝚋𝚞𝚝 𝚠𝚊𝚢𝚠𝚊𝚛𝚍 𝚕𝚎𝚊𝚟𝚎𝚜, 𝚜𝚌𝚊𝚝𝚝𝚎𝚛𝚎𝚍 𝚝𝚘 𝚝𝚑𝚎 𝚊𝚒𝚛 𝚋𝚢 𝚊𝚗 𝚒𝚗𝚍𝚒𝚏𝚏𝚎𝚛𝚎𝚗𝚝 𝚠𝚒𝚗𝚍.  𝕎𝕀𝕃𝕃 𝕐𝕆𝕌 𝕋𝔸𝕂𝔼 𝔸 ℙ𝔼𝔼𝕂?  𝐓𝐡𝐢𝐬 𝐢𝐬 𝐭𝐡𝐞 𝐬𝐰𝐞𝐞𝐭𝐞𝐬𝐭 𝐭𝐡𝐢𝐧𝐠, 𝐚𝐧𝐝 𝐈 𝐚𝐥𝐰𝐚𝐲𝐬 𝐜𝐨𝐦𝐞 𝐛𝐚𝐜𝐤 𝐭𝐨 𝐢𝐭 𝐰𝐡𝐞𝐧 𝐈 𝐰𝐚𝐧𝐭 𝐭𝐨 𝐰𝐚𝐭𝐜𝐡 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐰𝐡𝐨𝐥𝐞𝐬𝐨𝐦𝐞. 𝐈 𝐥𝐨𝐯𝐞 𝐭𝐡𝐞 𝐚𝐮𝐭𝐮𝐦𝐧𝐚𝐥/𝐬𝐩𝐨𝐨𝐤𝐲 𝐭𝐡𝐞𝐦𝐞, 𝐚𝐧𝐝 𝐭𝐡𝐞 𝐛𝐚𝐧𝐭𝐞𝐫 𝐛𝐞𝐭𝐰𝐞𝐞𝐧 𝐆𝐫𝐞𝐠 𝐚𝐧𝐝 𝐖𝐢𝐫𝐭 𝐢𝐬 𝐚𝐝𝐨𝐫𝐚𝐛𝐥𝐞. 𝐈 𝐰𝐢𝐬𝐡 𝐭𝐡𝐢𝐬 𝐬𝐡𝐨𝐰 𝐰𝐚𝐬 𝐨𝐧𝐠𝐨𝐢𝐧𝐠...  {𝚆𝚒𝚛𝚝} 𝚃𝚑𝚘𝚞𝚐𝚑 𝙸 𝚊𝚖 𝚕𝚘𝚜𝚝, 𝚖𝚢 𝚠𝚘𝚞𝚗𝚍𝚎𝚍 𝚑𝚎𝚊𝚛𝚝 𝚛𝚎𝚜𝚒𝚍𝚎𝚜 𝚋𝚊𝚌𝚔 𝚑𝚘𝚖𝚎 𝚒𝚗 𝚙𝚒𝚎𝚌𝚎𝚜, 𝚜𝚝𝚛𝚎𝚠𝚗 𝚊𝚌𝚛𝚘𝚜𝚜 𝚝𝚑𝚎 𝚐𝚛𝚊𝚟𝚎𝚢𝚊𝚛𝚍 𝚘𝚏 𝚖𝚢 𝚕𝚘𝚜𝚝 𝚕𝚘𝚟𝚎."
72,Johnny2Cellos,,5.0,"Is the dove never to meet the sea, for want of the odious mountain?"
73,{Todd},,4.5,"""Holy moly, hot dog!"" -Gregory,   Auntie Whispers is the scariest presence in anything that I've ever seen."
74,final rosie 🔪,,5.0,"You know what's better than Over the Garden Wall? Watching it with a pretty lady -- the first lady you've ever dated -- and she holds your hand the whole time and laughs at all the same things you laugh at and she orders Mexican food and gives you wine and it's the best thing that's happened for you in this haze of alert levels and lockdowns and Unknown. Perfect, gorgeous, wonderful life. Ain't that just the way?"
75,jourdain searles,,4.0,Poetic. Understated. Lovely.
76,claira curtis,,5.0,"🗣HAPPY HALLOWEEN FIRST 👻💀🎃  I only have ONE (1!!) president and their name is Kitty/Wirt/Greg/Ronald/Benjamin Franklin/George Washington/Skipper/Jason Funderburker/Mr. President/Doctor Cucumber!!!!!!!!!!   Starting Spooky Season off right with a delightfully wholesome and surprisingly creepy little mini series that I’ve been dying to see for quite some time. In the world of Trick Vs. Treat, Over the Garden Wall is an absolute treat.  1/31 of my October 2020 Halloween Watches :)"
77,jeaba,,5.0,this is the closest i've come to finding something that fills the void that was created when i finished watching gravity falls. dipper pines and wirt could have been best friends in another life.
78,Jesusmary,,5.0,"Warning: Spoiler(s) ahead!   Man, I've never expected that I'd be bawling my eyes out over a cutesy CalArts-drawn animation. I know ominous twists were lying low out there but I genuinely did not see the last two episodes bushwhacking the heck out of my emotions coming. It was as though they were just biding their time hidden amongst the overcast amber of squash and autumn leaves, lulling me with a false sense of ease and assurance that the series will…"
79,kat🕷,,5.0,"""Over the Garden Wall"" may initially seem like a show for kids, but this mix of autumnal melancholy, surreal humor and American folklore (turkeys, pumpkins, village schools, etc.) it‘s not only far too dark in some places for younger kids, it‘s also contains numerous references, allusions to mythology and scope for interpretation, which will probably only be accessible to adults. In addition, the series has also very beautifully drawn visuals and old background music."
80,Cinema Strikes Back 🟣,,4.0,"Das ist wirklich eine DER schönsten animierten Serien da draußen! Gruselig und herbstlich, dabei wirklich witzig und originell. Mein Halloweenkostüm stehts auf jeden Fall 🐘 🎃!"
81,Eliza,,5.0,as melancholy as a first encounter with the inevitability of death  that a child would not see purgatory as a place to wait but a dark forest to wade into and get lost in
82,einslein,,4.0,"Wirt and Greg are the two voices constantly clashing for power in my head  (not beating the bipolar allegations today)  btw if my kids (if I have kids) don't fw OTGW one day, I have completely failed as a parent."
83,ty,,5.0,I am crying on this rainy Wednesday morning. We need more animated stories like this 😩
84,han🐈,,5.0,Rewatching this again😅The last episode always get me💔
85,claira curtis,,5.0,"Thinking about how Wirt exclaims, “This is the end!” before dragging himself and Greg over the garden wall.   Thinking about how turtles are usually seen as good omens, but within the context of Over the Garden Wall, the black turtles that appear at some of the most crucial moments for the boys are tainted black with corruption and bring moments of terror instead of peace.   Thinking about how Beatrice’s dog, when transformed by the turtles, has the exact same glowing…"
86,🌻 lindsay 🌻,,5.0,"I love this show so much!! Rewatching it always makes me crave fall. I want chilly weather and sweaters and a hot coffee right now.   It’s just such a great little fantasy for kids and adults. It’s spooky but not scary. It’s deep but still full of humor. The dynamic between the siblings is so real - there’s so much annoyance but also love and fun and protectiveness.   The animation is gorgeous, the music is catchy and cute. It all…"
87,claira curtis,,5.0,"Last year I started my Halloween/Fall watch season by watching Over the Garden Wall, so naturally I had to do the same for 2021 as well.  Yes, I know it’s August 29th. I do not care. I have made the executive decision for all of us, the entire world, that Fall officially started today. Yes, even if you live in Australia where it is technically almost the start of Spring! It is now Fall across the globe, universe, and every…"
88,cookie,,5.0,the entire series takes place during a quarter moon and it’s a quarter moon out tonight :o charlie made a mean spiced cider
89,slim,,Unrated,"Insane to me that I’ve never heard anyone talk about this before or recommend it.   How about that theme music? I usually dance or shake to animated series music on the couch when it starts but that thing is nearly undance-able. Lord did I try, though.   Loved the little frog’s blanket."
90,mikayla,,5.0,"curse you lady, curse you! you're going to die someday, and i'll laugh! laugh! ha ha ha!   - Beatrice's comebacks on point."
91,zuzupan,,5.0,my faith in humanity has been restored
92,esther,,Unrated,"A witty ragtime fairy tale. It's quite intent on its aesthetic, but its old-timey whimsy is never anything less than charming. Also, I will never not be a sucker for stories about sibling bonds. Can't wait to show this to my younger sisters."
93,Jordan Horowitz,,4.5,"Incredible, efficient storytelling. A visual style that is both fresh and classic. What a joy to watch. More like this, please."
94,Kyler,,5.0,I really miss these type of shows that Cartoon Network used to make.
95,Victor Jugo,,5.0,"Cada capítulo es como una fábula o uno de esos cuentos que uno solía escuchar cuando era pequeño. En serio me gustó mucho esta serie, sus personajes, las canciones, los lugares, las situaciones, todo tiene un montón de carisma y magia. Además de una ambientación increíble, que tan solo con la música nos da esa sensación de ser algo mágico. 2 hermanos perdidos en un bosque encantado donde se encontrarán desde aves que hablan, ranas que actúan como humanos, una escuela para animales, y hasta la temida bestia del bosque."
96,ximenaribs,,5.0,"One of the most original animated stories ever brought to a tv screen and a personal favorite, if I had to compare this to something in terms of originality and uniqueness it would be spirited away (yes, spirited away). Fantastic all the way through, every episode and every story is so well made not limiting its content just for kids through hints of horror, beautiful visuals, AMAZING original music and compelling story telling.  If you’re looking for the ultimate fall…"
97,jasmine 🍂,,5.0,thanks now i have depression
98,Jules 🌸,,5.0,"You two are lost brothers with no purpose in life, right?  Wirt and Greg, are two brothers that find themselves lost in a forest called ''The Unknown''. In order to return home, they must wander this forest, where they'll meet various creatures.  Over the Garden Wall is definitively a piece of adult animation, full of dark innocence, folklore and surrealism. It's cute and childish moments contrast themselves with the spooky ones. I also adored the style of the drawings and…"
99,jeaba,,5.0,this isn't my second time watching this show over the last three days. mind your own business.
100,Matthew LeCHARLTON,,3.0,A novel approach to telling traditional fairy tales with a contemporary quirkiness. A little funny and dark around it’s margins but essentially childish.  Its impressive list of voice actors aren’t enough to cover the cracks of weak writing and a repetitious villain of the week that adds little purpose.
101,alina,,Unrated,it’s not officially october until i’ve rewatched this masterpiece 😌
102,Griffin,,5.0,Doesn’t get much cuter than this shit.
103,celia,,4.5,"i’ve watched this with a new person every year for the past couple of years and i get nervous every time! this show is so unabashedly wholesome and kind, with a healthy dose of childlike wonder. it’s the kind of thing where if you don’t feel like buying in, you are going to bounce off HARD and it won’t be pretty  this year i got to share it with liz and mia and they both loved it and we smiled :) i spooned with a dog :) demi lit a fire in the fireplace :) had a cozy night like fall. ain’t that just the way"
104,grace,,5.0,ITS CHILLY. ITS FRIDAY NIGHT. I MADE COOKIES. YIPPEE FALL!
105,kateleth,,5.0,It’s a perfect show and I’ll hear nothing against it
106,claira curtis,,5.0,"“Sometimes, I feel like I’m just like a boat upon a winding river, twisting towards an endless black sea… further and further, drifting away from where I want to be, who I want to be.” “Oh. I didn’t know that. Did you know that if you soak a raisin in grape juice, it turns into a grape? It’s a  r o c k  f a c t!”   It’s September. It’s rewatch Over the Garden Wall season. It’s “declare fall starts…"
107,ZombieTrex,,5.0,"Over the Garden Wall immerses the audience in the cruel, adult world of reality through the lens of children unable to fully grasp their situation. The world around them is equal parts intriguing and horrifying. There’s a tangible whimsicality to it all, drawing both the protagonists and the viewer into its old timely world while at the same time revealing more of its darker elements the further we plunge forward. The characters that inhabit the land are cartoonish in nature,…"
108,txdrmst,,5.0,"Vegan Curried Pumpkin Soup   INGREDIENTS  - 1 large yellow onion, chopped - 2 garlic cloves, minced - 1 teaspoon olive oil - 2 (15oz) cans cannellini beans, drained and rinsed - 2 (15 oz) cans pumpkin (or 3 1/2 cups pumpkin puree) - 1 (15 oz) can coconut milk (regular or light) - 4 Cups low sodium vegetable broth - 1 Tablespoon curry powder - 1/2 Tablespoon garam masala - 1/2 Tablespoon sea salt - 1  teaspoon ground pepper - Toppings: extra salt and pepper, roasted pumpkin seeds, coconut milk…"
109,🌻 lindsay 🌻,,5.0,we’re here to burgle your turts
110,Fred 🇵🇷,,3.5,"Cozy, casually grim, and wonderfully realized, there is a lot to like about the adventures of Over the Garden Wall. The character and locale designs in this are reason enough to check it out. Story-wise, for the most part, this worked for me despite not packing the kind of punch that similar Cartoon Network fantasy fare has pulled off (Adventure Time comes to mind). Only in the borderline obnoxiously cutesy and oddly elementary school-appropriate singalongs, of which there are about…"
111,Big Rig,,4.5,"Despite its wild creativity and fantastical elements, Over the Garden Wall is eerily familiar and surprisingly grounded. This series is very alike Studio Ghibli films in the sense that it understands that there is a certain magic that exists in the world; it may not be the mystical creatures pictured in this show, but the artistry (yes, this series is, first and foremost, a piece of art) and storytelling that suspends our disbelief, and invites us into a world that makes…"
112,margot,,5.0,used my movie theater manager privileges to watch this in a theater i know you’re all jealous
113,Daddy0,,5.0,"It's a good habit to take the time once every fall for a pilgrimage into the autumnal looking glass wood of fables and rustic Americana distorted, Over the Garden Wall. Brother Wirt lives by impotence and anxiety, brother Greg lives by the strength of the absurd, and both have got to bear witness to those truths which the Unknown offers in order to make anything worthwhile of the Known. Well, existentialists will settle for their “loveliest lies” over truth, but…"
114,The Armchair Critic,,5.0,"🎬 • 🍿 • 📀 • 🎞️ • 🎥   A piece that soared well, well over my expectations! Not only in quality, but also my understanding of what it was that I was actually about to watch. ‘Over The Garden Wall’ is a film (kind of) that is genius crafted-humour and storytelling at its absolute finest. The plot, whimsical and fluid, still fulfilling this perfect little story arc, trollops along to the humming to sound of Greg’s latest tune, a…"
115,Siena 🌞,,5.0,This miniseries is so genuinely pure that I can't even think of a sassy one liner and honestly that's beautiful
116,Danny,,5.0,That feeling when you finally watch something for the first time and instantly you know you are adding this to your yearly fall required viewings. What a delight.
117,Movies “Mofa” Fan123,,Unrated,Very cute miniseries! I enjoyed it for sure. Very nice vibes and I liked the darker horror aspects to it. Definitely one of the better Cartoon Network shows though they definitely have had some bangers throughout the years (Regular Show supremacy). The voice acting and characters were great. I liked the odd characters they met during the journeys. It mixes a lot of great genres. I don’t think I loved it as much as the rest of Letterboxd but it is a great series for sure!  And that’s a Rock Fact🪨
118,han🐈,,5.0,Me being sick gave me the perfect excuse to rewatch this for the 5th time!! I love this more every time I watch it!!!
119,Emma 🔆,,4.5,"Just want to ride on a ferry with a bunch of frogs, is that too much to ask?"
120,elle ᯓᡣ𐭩,,5.0,how do i rate a show higher than 5 stars
121,Johnny2Cellos,,5.0,All that was lost is revealed
122,🌻 lindsay 🌻,,5.0,Oh my god I loved this so much.   I can’t wait to show this to my niece and nephew I think kids should definitely see this show. The animation was beautiful and the story was so wholesome and sweet! It was also a little spooky and sad! But done in such a great way. I loved these characters and their dynamic with each other. Every stop in their journey was brilliant.   Also “hold your tongue or I’ll remove it from your mouth!” I was like DAMN
123,shay,,5.0,"""don't call me old lady"" ""YES SIR, YOUNG MAN!"""
124,Wahltart Whit,,5.0,Need a fellow traveling partner like Greg
125,emilyrugburn,,4.0,"Watched all of this on a date and it was delightful and so funny! The bluebird and the older kid are enemies to lovers        P.S. Sometimes I’m lazy and don’t wanna type in the thing I watched so I’ll play “how many degrees of Kevin Bacon (not actually Kevin Bacon) will it take me to find the thing I’m gonna review.” So this time, here’s how I got to this -   I started with somebody’s review of The Rundown, which…"
126,han🐈,,5.0,"HAPPY OCTOBER!!!!!!!!!!!🎃🎃🎃🎃  Honestly, this is my favourite show of all time, it’s my third time rewatching it and it was just as amazing as I remembered.  I highly encourage everyone to watch this as it is AMAZING and a short show which won’t take you long to finish! The music is perfect as well! It's perfect for watching during Autumn"
127,Juan Castillo,,5.0,"Cuando aún no había acabado de asimilar todos los elementos que componen Stranger Things he sido golpeado rotundamente por esta maravilla, que ya avanzo que es de visión obligada para todo aquel que aspire a ocupar la mayor parte de su tiempo contemplando belleza y que, como la serie de Netflix, integra un sinfín de ilustrísimas influencias hiladas con un abrumador derroche de imaginación. Over the Garden Wall es, para empezar, el eslabón más brillante en la incipiente cadena de obras singulares…"
128,Jaxi,,5.0,ok leaves you are now allowed to change color. fall has begun now that I watched otgw
129,áine,,5.0,i wanna steal
